"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0xda28ed9425e8b8c97e8a08c652530fe72e2386f1135e37c38b8ca390bbf40b2b","18035933","1722861213","2024-08-05 12:33:33","0x0000000000000000000000000000000000000000","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","1,000,000,000","Mint"
"0xc3f6ac5e65313f956d224e657f3226565f9da1e03265f318c69855429280d14e","18036083","1722861513","2024-08-05 12:38:33","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xf5c28ce24acf47849988f147d5c75787c0103534","1,000","Swap UDT For UP"
"0xbc42e5aa3cc75cb7698919acd9f4f9066995be4ac9e5e4c508edacf833c6f561","18376321","1723541989","2024-08-13 09:39:49","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x246a13358fb27523642d86367a51c2aeb137ac6c","400","Swap UDT For UP"
"0x5593b67d4897952ae07e8473407b981110f2837ef5c197d47fc5a3012da6af8d","18382153","1723553653","2024-08-13 12:54:13","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9d3ea9e9adde71141f4534db3b9b80df3d03ee5f","100","Swap UDT For UP"
"0xf4974828149a4d1f28287dc0249111f65ce0123e937368a441d5d3b711093450","18383756","1723556859","2024-08-13 13:47:39","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9d3ea9e9adde71141f4534db3b9b80df3d03ee5f","100","Swap UDT For UP"
"0x8fdb6e672dc5ffc3417cbb4134b8df61b1735a1653241177560e8b85b68fb25e","18384620","1723558587","2024-08-13 14:16:27","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9d3ea9e9adde71141f4534db3b9b80df3d03ee5f","100","Swap UDT For UP"
"0x7d784e19b1a97a7ba22a1e4d536aeda16a2486ac84afaf9bddeadeb0c8fd8c98","18385512","1723560371","2024-08-13 14:46:11","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9d3ea9e9adde71141f4534db3b9b80df3d03ee5f","100","Swap UDT For UP"
"0xcd842fa1811bff4314f7e1ae806dd5af7a8afdb662f8e3b6a9512fc8a406d108","18418108","1723625563","2024-08-14 08:52:43","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x246a13358fb27523642d86367a51c2aeb137ac6c","1,000","Swap UDT For UP"
"0x8ef0be71ad89ecb7b33e5134c32609f7e37d7b90c15ea0ec279f2c305cbc6a67","18429282","1723647911","2024-08-14 15:05:11","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9d3ea9e9adde71141f4534db3b9b80df3d03ee5f","100","Swap UDT For UP"
"0x575baddaaf751de648760c04db18245477acb46249f4790205fd3c6098587b77","18433330","1723656007","2024-08-14 17:20:07","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xed59e0fb105f003e508a1f59fe9f4ae5a755bded","24.510359894537121","Swap UDT For UP"
"0xd2b238530b41911307f02f3c468cb93d64944cb2ee3367d199f6bf5d525ed9c8","18444972","1723679291","2024-08-14 23:48:11","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x6aec5228fda60525f59afc773ada7df6a6d8e43f","4,839,930","Swap UDT For UP"
"0xf31df95a653b9b275363955b2492472272615d2dbace810a40d804e82ecf5067","18450620","1723690587","2024-08-15 02:56:27","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x5fedb4362ec2c4fbae539223d5acc63f99735e1c","2,635,150","Swap UDT For UP"
"0xaa80a01f02ade5e14260be1253061fb582aabf26f2bec3923d6314fd7f844457","18456163","1723701673","2024-08-15 06:01:13","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x1111fd96fd579642c0d589cd477188e29b47b738","5,000","Swap UDT For UP"
"0xabf97cde4b958621c08e10e4d8d0e68b7cb332f89b80cea3d601506d26026e4c","18489981","1723769309","2024-08-16 00:48:29","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xb0deb259a566f071c62f4f740eb294f0f55ae4a6","11,000","Swap UDT For UP"
"0x42076f12bc54b1be7b3d8ac2de0d965ea4332b098a72a74e5549e57fcacc108c","18504253","1723797853","2024-08-16 08:44:13","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xbccf3780cd5efe5cd73321dcbb86fecfda7d3d7e","1,000,000","Swap UDT For UP"
"0x22a10b267b43dad4b1a840503d26486a3d2f9afcdb77fa57107b15b3ecd2430e","18504571","1723798489","2024-08-16 08:54:49","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x65ceb2927a89f25a7a56f56008d059adbea54cc2","2,000,000","Swap UDT For UP"
